"iso2","metro_area_name","year","month","is_hired_1mo_n_users_keywords_total","is_unemployed_n_users_keywords_total","job_offer_n_users_keywords_total","job_search_n_users_keywords_total","lost_job_1mo_n_users_keywords_total","is_hired_1mo_n_users_keywords_gender_male","is_hired_1mo_n_users_keywords_gender_female","is_unemployed_n_users_keywords_gender_male","is_unemployed_n_users_keywords_gender_female","job_offer_n_users_keywords_gender_male","job_offer_n_users_keywords_gender_female","job_search_n_users_keywords_gender_male","job_search_n_users_keywords_gender_female","lost_job_1mo_n_users_keywords_gender_male","lost_job_1mo_n_users_keywords_gender_female","is_hired_1mo_n_users_bert05_total","is_unemployed_n_users_bert05_total","job_offer_n_users_bert05_total","job_search_n_users_bert05_total","lost_job_1mo_n_users_bert05_total","is_hired_1mo_n_users_bert05_gender_male","is_hired_1mo_n_users_bert05_gender_female","is_unemployed_n_users_bert05_gender_male","is_unemployed_n_users_bert05_gender_female","job_offer_n_users_bert05_gender_male","job_offer_n_users_bert05_gender_female","job_search_n_users_bert05_gender_male","job_search_n_users_bert05_gender_female","lost_job_1mo_n_users_bert05_gender_male","lost_job_1mo_n_users_bert05_gender_female","is_hired_1mo_n_users_bert09_total","is_unemployed_n_users_bert09_total","job_offer_n_users_bert09_total","job_search_n_users_bert09_total","lost_job_1mo_n_users_bert09_total","is_hired_1mo_n_users_bert09_gender_male","is_hired_1mo_n_users_bert09_gender_female","is_unemployed_n_users_bert09_gender_male","is_unemployed_n_users_bert09_gender_female","job_offer_n_users_bert09_gender_male","job_offer_n_users_bert09_gender_female","job_search_n_users_bert09_gender_male","job_search_n_users_bert09_gender_female","lost_job_1mo_n_users_bert09_gender_male","lost_job_1mo_n_users_bert09_gender_female"
"BR","Porto Alegre",2014,7,0.054723017342987,0,0.0336757029802997,0.0294662401077623,0.00841892574507493,0.0338581344167936,0.0843170320404722,0,0,0.0507872016251904,0.021079258010118,0.0338581344167936,0.0632377740303541,0,0,0.303081326822697,0.757703317056744,0.951338609193467,0.31570971544031,0.0168378514901499,0.270865075334349,0.379426644182125,0.558659217877095,1.0539629005059,0.355510411376333,0.21079258010118,0.186219739292365,0.526981450252951,0,0.021079258010118,0.0757703317056744,0.290452938205085,0.479878767469271,0.0968176460683617,0,0.101574403250381,0.0632377740303541,0.220077873709159,0.421585160202361,0.169290672083968,0.10539629005059,0.0677162688335873,0.231871838111298,0,0
"BR","Porto Alegre",2014,8,0.0572032033793893,0,0.0308017248965942,0.0176009856551967,0.00880049282759835,0.0357270453733476,0.111681929863748,0,0,0.0178635226866738,0,0,0.0223363859727496,0,0.0446727719454992,0.338818973862536,0.717240165449265,0.853647804277039,0.26401478482795,0.0132007392413975,0.214362272240086,0.55840964931874,0.500178635226867,1.07214652669198,0.410861021793498,0.312709403618495,0.160771704180064,0.402054947509493,0.0178635226866738,0,0.0880049282759835,0.193610842207164,0.440024641379917,0.0484027105517909,0.00880049282759835,0.0893176134333691,0.201027473754746,0.125044658806717,0.268036631672995,0.160771704180064,0.156354701809247,0.0357270453733476,0.0446727719454992,0,0
"BR","Porto Alegre",2014,9,0.0310104992690382,0.00443007132414832,0.0310104992690382,0.0487307845656315,0,0.0176772140710624,0.0233808744447042,0,0,0.0353544281421248,0,0,0.0701426233341127,0,0,0.283524564745492,0.722101625836176,0.939175120719444,0.252514065476454,0.013290213972445,0.159094926639562,0.374093991115268,0.51263920806081,1.02875847556699,0.547993636202934,0.350713116670563,0.106063284426374,0.397474865559972,0.0176772140710624,0,0.097461569131263,0.199353209586674,0.443007132414832,0.0575909272139281,0.00886014264829664,0.0707088562842496,0.116904372223521,0.123740498497437,0.350713116670563,0.141417712568499,0.233808744447042,0.0176772140710624,0.0935234977788169,0,0
"BR","Porto Alegre",2014,10,0.0642288258970626,0.0128457651794125,0.0214096086323542,0.0214096086323542,0,0.0521648408972353,0.134649910233393,0.0173882802990784,0,0.0173882802990784,0.0224416517055655,0,0,0,0,0.25263338186178,0.646570180697097,1.00625160572065,0.209814164597071,0.00428192172647084,0.173882802990784,0.403949730700179,0.365153886280647,0.875224416517056,0.869414014953921,0.403949730700179,0.0869414014953921,0.359066427289048,0,0,0.0856384345294168,0.166994947332363,0.393936798835317,0.0428192172647084,0,0.104329681794471,0.134649910233393,0.121717962093549,0.20197486535009,0.191271083289863,0.157091561938959,0.0173882802990784,0.112208258527828,0,0
"BR","Porto Alegre",2014,11,0.0634661589373952,0.0090665941339136,0.0317330794686976,0.0317330794686976,0,0.0369822485207101,0.167544279559598,0.018491124260355,0.0239348970799426,0.0554733727810651,0,0,0.0478697941598851,0,0,0.271997824017408,0.702661045378304,0.983725463529625,0.231198150414797,0.0045332970669568,0.166420118343195,0.406893250359023,0.425295857988166,1.1249401627573,0.406804733727811,0.359023456199138,0.0739644970414201,0.454763044518909,0,0.0239348970799426,0.0951992384060927,0.194931773879142,0.457863003762637,0.0317330794686976,0,0.0554733727810651,0.119674485399713,0.129437869822485,0.239348970799426,0.129437869822485,0.167544279559598,0,0.0957395883197702,0,0
"BR","Porto Alegre",2014,12,0.0734753857457752,0,0.0367376928728876,0.0275532696546657,0,0.0564227948091029,0.0984251968503937,0,0,0.018807598269701,0,0.018807598269701,0.0246062992125984,0,0,0.270940484937546,0.574026451138869,0.670462894930198,0.188280675973549,0.0229610580455547,0.169268384427309,0.46751968503937,0.357344367124318,0.812007874015748,0.357344367124318,0.221456692913386,0.150460786157608,0.246062992125984,0,0.0492125984251968,0.0642909625275533,0.169911829537105,0.326047024246877,0.0321454812637766,0.0137766348273328,0.0752303930788038,0.0738188976377953,0.150460786157608,0.270669291338583,0.112845589618206,0.0492125984251968,0.018807598269701,0.0492125984251968,0,0.0246062992125984
"BR","Porto Alegre",2015,1,0.077227093081361,0.00908554036251306,0.0545132421750784,0.0408849316313088,0,0.112739571589628,0.0744232200446539,0,0,0,0,0,0.0744232200446539,0,0,0.317993912687957,0.826784172988688,0.78589924135738,0.399763775950575,0.0136283105437696,0.28184892897407,0.396923840238154,0.544907929349868,1.21557926072935,0.300638857572341,0.223269660133962,0.244269071777527,0.620193500372116,0.0187899285982713,0,0.0681415527188479,0.317993912687957,0.408849316313088,0.1044837141689,0,0.056369785794814,0.148846440089308,0.206689214580985,0.446539320267924,0.131529500187899,0.0744232200446539,0.0375798571965427,0.148846440089308,0,0
"BR","Porto Alegre",2015,2,0.0499251123315027,0,0.0590024054826851,0.0408478191803204,0,0.0371057513914657,0.100376411543287,0,0,0,0,0,0.100376411543287,0,0,0.254164208233105,0.835110969908773,0.708028865792221,0.399400898652022,0.00907729315118232,0.241187384044527,0.326223337515684,0.500927643784787,1.48055207026349,0.352504638218924,0.250941028858218,0.222634508348794,0.853199498117942,0.0185528756957328,0,0.0998502246630055,0.308627967140199,0.363091726047293,0.086234284936232,0.00907729315118232,0.0742115027829314,0.150564617314931,0.185528756957328,0.577164366373902,0.148423005565863,0.0752823086574655,0,0.200752823086575,0.0185528756957328,0
"BR","Porto Alegre",2015,3,0.103761348897536,0,0.0302637267617812,0.0648508430609598,0.00432338953739732,0.0725952813067151,0.0972053462940462,0,0,0,0.0486026731470231,0.0362976406533575,0.145808019441069,0,0,0.406398616515348,1.04193687851275,0.894941634241245,0.475572849113705,0.0172935581495893,0.254083484573503,0.461725394896719,0.653357531760436,1.70109356014581,0.417422867513612,0.291616038882139,0.235934664246824,0.874848116646416,0.0181488203266788,0.0729040097205346,0.125378296584522,0.376134889753567,0.410722006052745,0.125378296584522,0.00864677907479464,0.0907441016333938,0.121506682867558,0.254083484573503,0.680437424058323,0.127041742286751,0.0972053462940462,0.0907441016333938,0.291616038882139,0,0.0486026731470231
"BR","Porto Alegre",2015,4,0.0450755014649538,0.00901510029299076,0.0315528510254677,0.0405679513184584,0,0.0767459708365311,0.0820344544708778,0.0191864927091328,0.0273448181569593,0,0,0,0.0546896363139185,0,0,0.378634212305612,0.915032679738562,0.833896777101645,0.401171963038089,0.00901510029299076,0.287797390636992,0.7383100902379,0.594781273983116,1.20317199890621,0.364543361473523,0.492206726825267,0.21105141980046,0.519551544982226,0,0.0273448181569593,0.11719630380888,0.315528510254677,0.41920216362407,0.0856434527834122,0.00450755014649538,0.0959324635456638,0.300792999726552,0.172678434382195,0.35548263604047,0.134305448963929,0.191413727098715,0.0191864927091328,0.109379272627837,0,0
